,Rneck,Delta V (mV) Spine Head,Delta V (mV) Dendritic Shaft
119,19.341282868103487,13.420332146913935,12.547456642462848
120,19.496050480665126,13.425899053102526,12.545904660247544
121,19.61948166512082,13.430337207427911,12.54466640784726
122,19.65352739000045,13.431561125152434,12.544324786363525
123,19.729830967375648,13.434303793427425,12.543559021823768
124,20.153599567404278,13.449526183223732,12.539327616081422
125,20.798110483316265,13.472800335220974,12.532894167997284
126,20.94421232300659,13.478131981754863,12.53143445234528
127,21.286812960511675,13.490627143181342,12.528009717147121
128,21.732669183052074,13.506873218078852,12.523549296878151
129,21.841485744397122,13.510835738566016,12.522460113814766
130,21.863722832532115,13.511645374058425,12.522237508822876
131,21.86625396152704,13.51173752794567,12.522212170328153
132,22.034492432655725,13.517861606822862,12.520527727824643
133,22.41123162650092,13.531566969642284,12.516754009819984
134,22.628213605855333,13.539455340945146,12.514579530151124
135,22.814699770371238,13.546232041688668,12.512710106360501
136,22.91132127348477,13.549742079023765,12.511741332802742
137,22.951961947969856,13.551218241822902,12.511333810990067
138,23.00056624617547,13.552983491704587,12.510846404829813
139,23.000936600077296,13.552996941798455,12.510842690775412
140,23.694817242800195,13.578177879688468,12.503881127522284
141,24.58946360269093,13.610590848184167,12.494897435235238
142,24.616438835652776,13.611567239197377,12.49462644170989
143,24.7731035561146,13.617236801873425,12.493052464194868
144,24.969052809754157,13.624437533499588,12.491083519812534
145,25.300853660184526,13.63665192997761,12.487748835192448
146,25.389515527229555,13.63991441855088,12.486857626571272
147,25.543820317531857,13.645591000867938,12.485306465710174
148,26.05639587543242,13.664435325778612,12.48015271622726
149,26.092580075953453,13.66576488910367,12.479788842627059
150,26.435089566154403,13.678345557579071,12.476344199050324
151,26.776340918713863,13.690871790055297,12.472911692120974
152,27.340911938033713,13.711577573278333,12.467231981736155
153,27.420464443520594,13.714493416058879,12.466431589185795
154,27.840354607163928,13.729876532086038,12.462206753262763
155,28.669192354439996,13.760207033881606,12.453866367367091
156,28.83482748153567,13.766262815635251,12.452199556177355
157,29.389548467179335,13.786666706823745,12.446617310944156
158,29.711295895786222,13.79862473839394,12.44337958191786
159,30.02944932445503,13.8104424297021,12.440178123797082
160,30.410110126749966,13.824573162379721,12.436347873785202
161,30.537548431989034,13.829301754114724,12.435065636565668
162,31.032172848736575,13.84764475398854,12.430089249749642
163,31.373017802318525,13.86027568569586,12.426660401395253
164,31.555810624996262,13.867046496722537,12.424821677174222
165,32.02668242558142,13.884478204317944,12.42008566860347
166,32.14944409519353,13.889020538856855,12.418851069139713
167,32.468504217723954,13.900821718420218,12.415642600774888
168,33.716028948457094,13.946903322315542,12.403101884005025
169,33.71999248313551,13.947049575659797,12.403062052984936
170,33.767821092909124,13.948837275417809,12.402581412361044
171,33.818008214710844,13.950722017833556,12.402077083969289
172,34.30317050834945,13.968933732762181,12.397202425995665
173,34.50306762533744,13.976433030582605,12.395194358644929
