,AePSD (um^2),dV_{max} (mV) - Spine Head,dV_{max} (mV) - Dendritic Shaft,dV_{max} (mV) - Soma,SiS (0) or DiS (1)
70,0.0296717,4.138603419160646,0.5448249468569344,0.12926746730045124,0.0
71,0.164339,5.415514324142578,2.973891480381198,0.697565336616691,0.0
72,0.086272,5.538807380821524,1.563476458146198,0.3642413636240889,0.0
73,0.0463055,3.044485962354642,0.8549040370124175,0.19936385110943888,0.0
74,0.0184868,0.7396481380836519,0.34966741832649006,0.08331118069857268,0.0
75,0.487876,54.64903607841302,8.30093439974437,2.2835007100256917,0.0
76,0.0950852,6.767540271611075,1.7135271345177188,0.3874542519538977,0.0
77,0.0533284,4.975199296837644,0.9794397697593524,0.22060089526799231,0.0
78,0.424959,11.42205975753533,7.308412560425744,1.6524605086225108,0.0
79,0.224489,12.104038938210245,3.8510685922713748,0.8558196542835645,0.0
80,0.0388434,3.5032339160940893,0.7274204614203086,0.1588852713562119,0.0
81,0.086159,3.234379209723045,1.609983761548392,0.355589262871149,0.0
82,0.18743,6.016936593435354,3.40370294308282,0.7562383793614202,0.0
83,0.0494837,4.651906376800085,0.911525833041992,0.2068337507300413,0.0
84,0.0305912,5.04143118208799,0.5619949985952815,0.12786482448379388,0.0
85,0.152653,4.228719268952304,2.83904413245412,0.6039188060964875,0.0
86,0.0418654,6.811429896639886,0.7627691234727081,0.16501289575268174,0.0
87,0.129039,5.9635812158796,2.3610146643018055,0.5035697260164227,0.0
88,0.214794,6.553407877817882,3.9035214777555325,0.8267782631430833,0.0
89,0.181399,15.104219322058853,3.0574511983292894,0.6538583714005739,0.0
90,0.300195,16.66389599886815,4.966201108277204,1.0574200377348006,0.0
91,0.0523198,5.797951930482299,0.9647258069142879,0.20115871392465579,0.0
92,0.0242167,1.3899061379077864,0.4652510213595633,0.09514666802574823,0.0
93,0.0851217,8.01357023444345,1.5380106064811656,0.31702882756319184,0.0
94,0.206473,6.636987013447296,3.779071602212241,0.7528958644766703,0.0
95,0.175835,6.3409925550663715,3.2153819945134217,0.6564633702738689,0.0
96,0.0779803,3.496529693126263,1.4695295483387412,0.29552266448698106,0.0
97,0.123153,9.541464950678055,2.1922985074844803,0.4468685810284967,0.0
98,0.31413,13.727031540205928,5.334142438646182,1.1188980701269315,0.0
99,0.0599999,2.1943608830953423,1.1443161336894576,0.23266767304473035,0.0
100,0.150444,10.147664406555123,2.6591595735814195,0.5495374843725642,0.0
101,0.559707,15.59774346867652,9.40768727593155,1.8739953861575742,0.0
102,0.0433933,4.4812848373622245,0.9186966773818028,0.1502576571674865,0.0
103,0.125474,6.149935256343518,2.597590938142986,0.4426746391839913,0.0
104,0.0549641,1.8306483090059515,1.1916559049985835,0.19263571150736425,0.0
105,0.993682,23.22144097859468,17.83054544646764,3.1618568737563635,0.0
106,0.0165962,2.8821791881631214,0.35624085130697836,0.059164397182271955,0.0
107,0.0376693,4.271975619012537,0.7994251835453952,0.1327591986081842,0.0
108,0.100085,5.297260827206259,1.8535353521942568,0.3634058205697386,0.0
109,0.273291,19.504024210946277,5.032039873222985,0.8610001822214173,0.0
110,0.14838,11.265337445386983,2.943624496286006,0.4910340473894763,0.0
111,0.157766,6.746099874657801,3.2535887574933753,0.5338398118506547,0.0
112,0.0764841,3.249410522145709,1.4482146281665962,0.27930987757586934,0.0
113,0.1994,5.525120854806815,4.15228571344268,0.7119682458243801,0.0
114,0.0533931,4.696256520323644,1.1256725592476329,0.18989631629402481,0.0
115,0.0478339,1.4605398100295872,1.0387147194951893,0.17414829993437309,0.0
116,0.0456209,8.1227809949076,0.9352149734826583,0.15771451520372182,0.0
117,0.0332578,3.897921742042371,0.7078900034879752,0.11616575791855155,0.0
118,0.0203339,1.9640048023127008,0.4404901496993574,0.07201888571368897,0.0
119,0.0634078,3.3520297129796575,1.3559347561711377,0.216945782023501,0.0
120,0.0741873,2.13897292848128,1.6095778880572311,0.24309423974149524,0.0
121,0.0298879,0.9940301032926158,0.654533731931835,0.10398392634076004,0.0
122,0.0554767,2.6740731519146124,1.1946317567533669,0.18868049197854475,0.0
123,0.0634504,2.8403414565319736,1.3646807308236504,0.21479642518681885,0.0
124,0.0543065,5.1723053326007715,1.1466013680367695,0.17793845830703958,0.0
125,0.0641906,4.564461983409387,1.3632629403329872,0.2057063821435463,0.0
126,0.215865,12.533875278796067,4.230726227632346,0.6860123430412415,0.0
127,0.115736,10.20086332276869,2.325148270816854,0.37470031188316,0.0
