,t(ms),V(mV) Spine Head - M,V(mV) Spine Head - lb,V(mV) Spine Head - ub,V(mV) Dendritic shaft - M,V(mV) Dendritic shaft - lb,V(mV) Dendritic shaft - ub,V(mV) Soma - M,V(mV) Soma - lb,V(mV) Soma - ub
7030,231.5,-69.99966176150795,-69.99981857983215,-69.9994073450257,-69.999827593895,-69.99991337970273,-69.99964445089454,-69.99994680240196,-69.99997237743378,-69.99989469166563
7031,231.55,-69.99966176579215,-69.99981858549255,-69.99940734949195,-69.99982759439258,-69.99991338042082,-69.99964445713998,-69.99994680300638,-69.99997237827763,-69.9998946951425
7032,231.60000000000002,-69.99966177006378,-69.99981859113632,-69.99940735394506,-69.9998275948887,-69.99991338113682,-69.99964446336709,-69.99994680360903,-69.99997237911901,-69.99989469860917
7033,231.65000000000003,-69.99966177432287,-69.99981859676352,-69.9994073583851,-69.99982759538335,-69.9999133818507,-69.99964446957591,-69.99994680420991,-69.99997237995792,-69.99989470206565
7034,231.70000000000005,-69.99966177856945,-69.99981860237419,-69.9994073628121,-69.99982759587655,-69.9999133825625,-69.9996444757665,-69.99994680480903,-69.99997238079438,-69.99989470551198
7035,231.75,-69.99966178280356,-69.99981860796838,-69.9994073672261,-69.9998275963683,-69.9999133832722,-69.99964448193892,-69.99994680540638,-69.99997238162837,-69.99989470894819
7036,231.8,-69.99966178702523,-69.99981861354615,-69.99940737162713,-69.99982759685861,-69.99991338397982,-69.9996444880932,-69.99994680600199,-69.99997238245992,-69.99989471237431
7037,231.85000000000002,-69.9996617912345,-69.99981861910754,-69.99940737601524,-69.99982759734748,-69.99991338468536,-69.99964449422941,-69.99994680659584,-69.99997238328902,-69.99989471579038
7038,231.90000000000003,-69.99966179543141,-69.99981862465259,-69.99940738039047,-69.99982759783491,-69.99991338538882,-69.99964450034761,-69.99994680718795,-69.99997238411568,-69.9998947191964
7039,231.95000000000005,-69.99966179961599,-69.99981863018137,-69.99940738475284,-69.99982759832092,-69.99991338609023,-69.99964450644784,-69.99994680777831,-69.99997238493992,-69.99989472259243
7040,232.0,-69.9996618037883,-69.99981863569391,-69.99940738910242,-69.9998275988055,-69.99991338678957,-69.99964451253015,-69.99994680836696,-69.99997238576174,-69.99989472597849
7041,232.05,-69.99966180794834,-69.99981864119026,-69.99940739343921,-69.99982759928865,-69.99991338748686,-69.99964451859461,-69.99994680895387,-69.99997238658113,-69.99989472935461
7042,232.10000000000002,-69.99966181209618,-69.99981864667046,-69.99940739776326,-69.99982759977038,-69.99991338818211,-69.99964452464125,-69.99994680953905,-69.99997238739813,-69.9998947327208
7043,232.15000000000003,-69.99966181623182,-69.99981865213458,-69.99940740207462,-69.9998276002507,-69.9999133888753,-69.99964453067015,-69.99994681012252,-69.99997238821273,-69.99989473607712
7044,232.20000000000005,-69.99966182035533,-69.99981865758265,-69.99940740637332,-69.9998276007296,-69.99991338956647,-69.99964453668133,-69.99994681070427,-69.99997238902493,-69.99989473942358
7045,232.25,-69.99966182446673,-69.99981866301472,-69.9994074106594,-69.9998276012071,-69.9999133902556,-69.99964454267486,-69.99994681128432,-69.99997238983475,-69.9998947427602
7046,232.3,-69.99966182856605,-69.99981866843085,-69.99940741493289,-69.99982760168321,-69.99991339094271,-69.99964454865079,-69.99994681186266,-69.9999723906422,-69.99989474608704
7047,232.35000000000002,-69.99966183265332,-69.99981867383106,-69.99940741919382,-69.99982760215791,-69.9999133916278,-69.99964455460919,-69.99994681243929,-69.99997239144727,-69.9998947494041
7048,232.40000000000003,-69.9996618367286,-69.99981867921542,-69.99940742344225,-69.99982760263121,-69.99991339231089,-69.99964456055008,-69.99994681301423,-69.99997239224999,-69.99989475271143
7049,232.45000000000005,-69.99966184079192,-69.99981868458397,-69.9994074276782,-69.99982760310313,-69.99991339299196,-69.99964456647352,-69.9999468135875,-69.99997239305034,-69.99989475600904
7050,232.5,-69.99966184484329,-69.99981868993676,-69.9994074319017,-69.99982760357366,-69.99991339367104,-69.99964457237957,-69.99994681415907,-69.99997239384834,-69.99989475929696
7051,232.55,-69.99966184888277,-69.99981869527382,-69.9994074361128,-69.9998276040428,-69.99991339434811,-69.99964457826827,-69.99994681472897,-69.999972394644,-69.99989476257524
7052,232.60000000000002,-69.99966185291039,-69.9998187005952,-69.99940744031154,-69.99982760451059,-69.99991339502321,-69.99964458413969,-69.99994681529719,-69.99997239543733,-69.99989476584388
7053,232.65000000000003,-69.99966185692618,-69.99981870590096,-69.99940744449795,-69.99982760497699,-69.99991339569632,-69.99964458999385,-69.99994681586375,-69.99997239622832,-69.99989476910292
7054,232.70000000000005,-69.99966186093017,-69.99981871119114,-69.99940744867206,-69.99982760544201,-69.99991339636746,-69.99964459583083,-69.99994681642865,-69.99997239701699,-69.9998947723524
7055,232.75,-69.99966186492242,-69.9998187164658,-69.99940745283392,-69.99982760590566,-69.99991339703662,-69.99964460165067,-69.99994681699188,-69.99997239780335,-69.99989477559234
7056,232.8,-69.99966186890292,-69.99981872172495,-69.99940745698356,-69.99982760636796,-69.99991339770382,-69.99964460745342,-69.99994681755346,-69.99997239858739,-69.99989477882276
7057,232.85000000000002,-69.99966187287176,-69.99981872696867,-69.99940746112101,-69.9998276068289,-69.99991339836905,-69.99964461323913,-69.99994681811339,-69.99997239936913,-69.9998947820437
7058,232.90000000000003,-69.99966187682892,-69.99981873219697,-69.9994074652463,-69.9998276072885,-69.99991339903234,-69.99964461900785,-69.99994681867167,-69.99997240014858,-69.99989478525517
7059,232.95000000000005,-69.99966188077447,-69.99981873740994,-69.99940746935948,-69.99982760774674,-69.99991339969367,-69.99964462475964,-69.99994681922831,-69.99997240092574,-69.99989478845721
7060,233.0,-69.99966188470843,-69.99981874260759,-69.9994074734606,-69.99982760820363,-69.99991340035307,-69.99964463049453,-69.99994681978332,-69.99997240170062,-69.99989479164985
7061,233.05,-69.99966188863084,-69.99981874778997,-69.99940747754965,-69.99982760865917,-69.99991340101052,-69.99964463621258,-69.9999468203367,-69.99997240247322,-69.99989479483311
7062,233.10000000000002,-69.99966189254172,-69.99981875295715,-69.9994074816267,-69.99982760911338,-69.99991340166603,-69.99964464191383,-69.99994682088845,-69.99997240324355,-69.99989479800703
7063,233.15000000000003,-69.99966189644114,-69.99981875810914,-69.99940748569178,-69.99982760956627,-69.99991340231963,-69.99964464759834,-69.99994682143858,-69.99997240401161,-69.99989480117164
7064,233.20000000000005,-69.99966190032909,-69.99981876324603,-69.99940748974493,-69.99982761001782,-69.99991340297132,-69.99964465326617,-69.99994682198711,-69.99997240477744,-69.99989480432694
7065,233.25,-69.99966190420562,-69.9998187683678,-69.99940749378617,-69.99982761046805,-69.9999134036211,-69.99964465891735,-69.99994682253401,-69.999972405541,-69.99989480737527
7066,233.3,-69.99966190807078,-69.99981877347454,-69.99940749781553,-69.99982761091694,-69.99991340426895,-69.99964466455194,-69.99994682307931,-69.99997240630233,-69.99989480832774
7067,233.35000000000002,-69.99966191192458,-69.9998187785663,-69.99940750183306,-69.99982761136452,-69.9999134049149,-69.99964467016997,-69.99994682362302,-69.99997240706142,-69.99989480927741
7068,233.40000000000003,-69.99966191576705,-69.9998187836431,-69.9994075058388,-69.99982761181079,-69.99991340555897,-69.9996446757715,-69.99994682416512,-69.99997240781828,-69.99989481022429
7069,233.45000000000005,-69.99966191959825,-69.99981878870497,-69.99940750983278,-69.99982761225574,-69.99991340620113,-69.9996446813566,-69.99994682470563,-69.99997240857292,-69.99989481116839
7070,233.5,-69.9996619234182,-69.999818793752,-69.99940751381502,-69.99982761269939,-69.99991340684142,-69.9996446869253,-69.99994682524456,-69.99997240932534,-69.99989481210972
7071,233.55,-69.99966192722694,-69.99981879878419,-69.99940751778557,-69.99982761314175,-69.99991340747982,-69.99964469247763,-69.9999468257819,-69.99997241007556,-69.99989481304827
7072,233.60000000000002,-69.99966193102448,-69.99981880380162,-69.99940752174446,-69.9998276135828,-69.99991340811634,-69.99964469801367,-69.99994682631767,-69.99997241082357,-69.99989481398407
7073,233.65000000000003,-69.99966193481087,-69.9998188088043,-69.99940752569172,-69.99982761402255,-69.999913408751,-69.99964470353345,-69.99994682685187,-69.99997241156939,-69.99989481491713
7074,233.70000000000005,-69.99966193858614,-69.9998188137923,-69.9994075296274,-69.99982761446101,-69.9999134093838,-69.99964470903701,-69.99994682738449,-69.99997241231301,-69.99989481584744
7075,233.75,-69.99966194235033,-69.99981881876565,-69.99940753355152,-69.99982761489818,-69.99991341001473,-69.99964471452442,-69.99994682791555,-69.99997241305445,-69.99989481677503
7076,233.8,-69.99966194610346,-69.9998188237244,-69.99940753746411,-69.99982761533407,-69.99991341064381,-69.99964471999571,-69.99994682844505,-69.99997241379371,-69.99989481769988
7077,233.85000000000002,-69.99966194984557,-69.99981882866858,-69.99940754136522,-69.99982761576868,-69.99991341127105,-69.99964472545093,-69.999946828973,-69.9999724145308,-69.99989481862202
7078,233.90000000000003,-69.99966195357669,-69.99981883359824,-69.99940754525485,-69.99982761620201,-69.99991341189644,-69.99964473089014,-69.9999468294994,-69.99997241526573,-69.99989481954147
7079,233.95000000000005,-69.99966195729685,-69.99981883851343,-69.99940754913308,-69.99982761663408,-69.99991341252,-69.99964473631337,-69.99994683002424,-69.9999724159985,-69.99989482045821
7080,234.0,-69.9996619610061,-69.99981884341419,-69.99940755299991,-69.99982761706487,-69.99991341314173,-69.99964474172069,-69.99994683054756,-69.99997241672912,-69.99989482137225
7081,234.05,-69.99966196470444,-69.99981884830055,-69.99940755685539,-69.99982761749439,-69.99991341376163,-69.99964474711211,-69.99994683106932,-69.9999724174576,-69.99989482228361
