,t(ms),Total [Ca^{2+}] (uM),VDCC-dep [Ca^{2+}] (uM),NMDAR-dep [Ca^{2+}] (uM)
5942,297.10000000000366,0.004390099617320373,0.0036619759444069915,0.0007281236729133818
5943,297.1500000000036,0.004388298245536862,0.0036619071301222674,0.0007263911154145949
5944,297.20000000000357,0.004386501119841295,0.003661838488128124,0.0007246626317131711
5945,297.2500000000035,0.00438470823037359,0.00366177001799307,0.0007229382123805201
5946,297.3000000000035,0.004382919567296102,0.003661701719286693,0.0007212178480094095
5947,297.35000000000343,0.00438113512079357,0.0036616335915796556,0.0007195015292139143
5948,297.4000000000034,0.004379354881073068,0.003661565634443699,0.0007177892466293693
5949,297.45000000000334,0.004377578838363965,0.0036614978474516406,0.0007160809909123245
5950,297.5000000000033,0.00437580698291786,0.0036614302301773622,0.0007143767527404982
5951,297.55000000000325,0.004374039305008545,0.0036613627821958164,0.0007126765228127285
5952,297.6000000000032,0.0043722757949319485,0.003661295503083018,0.0007109802918489303
5953,297.65000000000316,0.004370516443006095,0.0036612283924160505,0.0007092880505900445
5954,297.7000000000031,0.004368761239571047,0.0036611614497730513,0.0007075997897979953
5955,297.75000000000307,0.004367010174988859,0.0036610946747332143,0.0007059155002556443
5956,297.800000000003,0.0043652632396435345,0.003661028066876792,0.0007042351727667425
5957,297.850000000003,0.0043635204239409675,0.0036609616257850825,0.0007025587981558849
5958,297.90000000000293,0.004361781718308905,0.0036608953510404397,0.0007008863672684651
5959,297.9500000000029,0.004360047113196889,0.0036608292422262603,0.0006992178709706288
5960,298.00000000000284,0.004358316599076214,0.0036607632989269848,0.0006975533001492293
5961,298.0500000000028,0.004356590166439877,0.003660697520728094,0.000695892645711783
5962,298.10000000000275,0.00435486780580253,0.00366063190721611,0.0006942358985864197
5963,298.1500000000027,0.00435314950770043,0.003660566457978589,0.0006925830497218409
5964,298.20000000000266,0.004351435262691395,0.0036605011726041203,0.000690934090087275
5965,298.2500000000026,0.004349725061354754,0.0036604360506823264,0.0006892890106724277
5966,298.30000000000257,0.004348018894291297,0.0036603710918038527,0.0006876478024874442
5967,298.3500000000025,0.004346316752123232,0.003660306295560375,0.0006860104565628568
5968,298.4000000000025,0.004344618625494136,0.003660241661544592,0.0006843769639495443
5969,298.45000000000243,0.004342924505068906,0.0036601771893502197,0.000682747315718686
5970,298.5000000000024,0.004341234381533711,0.003660112878571993,0.0006811215029617182
5971,298.55000000000234,0.004339548245595952,0.0036600487288056655,0.0006794995167902865
5972,298.6000000000023,0.004337866087984204,0.0036599847396479993,0.000677881348336205
5973,298.65000000000225,0.00433618789944818,0.003659920910696769,0.0006762669887514112
5974,298.7000000000022,0.004334513670758673,0.003659857241550755,0.0006746564292079185
5975,298.75000000000216,0.004332843392707521,0.0036597937318097453,0.0006730496608977759
5976,298.8000000000021,0.004331177056107552,0.00365973038107453,0.000671446675033022
5977,298.85000000000207,0.004329514651792539,0.0036596671889468978,0.0006698474628456409
5978,298.900000000002,0.004327856170617156,0.0036596041550296375,0.0006682520155875189
5979,298.950000000002,0.004326201603456931,0.003659541278926531,0.0006666603245304002
5980,299.00000000000193,0.0043245509412081955,0.0036594785602423515,0.0006650723809658441
5981,299.0500000000019,0.0043229041747880476,0.0036594159985828684,0.0006634881762051792
5982,299.10000000000184,0.0043212612951342945,0.0036593535935548318,0.0006619077015794627
5983,299.1500000000018,0.004319622293205414,0.0036592913447659804,0.000660330948439434
5984,299.20000000000175,0.00431798715998051,0.003659229251825036,0.0006587579081554744
5985,299.2500000000017,0.00431635588645926,0.0036591673143417,0.0006571885721175603
5986,299.30000000000166,0.004314728463661874,0.0036591055319266505,0.0006556229317352236
5987,299.3500000000016,0.004313104882629047,0.0036590439041915422,0.0006540609784375048
5988,299.40000000000157,0.004311485134421919,0.003658982430749004,0.0006525027036729151
5989,299.4500000000015,0.00430986921012202,0.003658921111212632,0.0006509480989093876
