,AePSD (um^2),[Ca2+]_{max} (uM),SiS (0) or DiS (1)
48,0.0274589,0.3495297622430277,0.0
49,0.0479813,0.32942829755371084,0.0
50,0.0695152,0.5673923030484257,0.0
51,0.0514074,0.3654379133982808,0.0
52,0.403773,0.9072030987432688,0.0
53,0.0371317,0.24758770192202653,0.0
54,0.0915083,0.3063006447641725,0.0
55,0.281162,0.6360652270723118,0.0
56,0.116874,0.5934118752823674,0.0
57,0.945083,1.6948148090129136,0.0
58,0.0438439,0.27968492564252456,0.0
59,0.0356928,0.2794556830333679,0.0
60,0.123556,0.5065722675114362,0.0
61,0.33745,0.6654714208602734,0.0
62,0.340107,0.9811240226136136,0.0
63,0.0326317,0.24572313177741464,0.0
64,0.406255,0.883235718832591,0.0
65,0.29898,0.8854734669136161,0.0
66,0.0520168,0.35577763569904086,0.0
67,0.0480011,0.27737351412780764,0.0
68,0.0449263,0.18946268812215858,0.0
69,0.330053,0.6378427949924182,0.0
70,0.0296717,0.24153737911640202,0.0
71,0.164339,0.4744225658028475,0.0
72,0.086272,0.2607114292035142,0.0
73,0.0463055,0.18925788412729314,0.0
74,0.0184868,0.14874735176851026,0.0
75,0.487876,15.230216024246413,0.0
76,0.0950852,0.3697572354758982,0.0
77,0.0533284,0.2701415601927989,0.0
78,0.424959,0.6492696476824062,0.0
79,0.224489,0.4989800976729958,0.0
80,0.0388434,0.38480472143003663,0.0
81,0.086159,0.38235842624425076,0.0
82,0.18743,0.5102210994658665,0.0
83,0.0494837,0.3354995644871911,0.0
84,0.0305912,0.25594614587622644,0.0
85,0.152653,0.36216557020537776,0.0
86,0.0418654,0.2829329284739517,0.0
87,0.129039,0.5565353687315044,0.0
88,0.214794,0.4322832526556575,0.0
89,0.181399,0.8710337469967551,0.0
90,0.300195,0.8065148262277791,0.0
91,0.0523198,0.26890978395018283,0.0
92,0.0242167,0.11785845295061653,0.0
93,0.0851217,0.45124109490918807,0.0
94,0.206473,0.5777351879219681,0.0
95,0.175835,0.5367932756542919,0.0
96,0.0779803,0.30859545909726704,0.0
97,0.123153,0.45229574873467115,0.0
98,0.31413,0.6716031233925043,0.0
99,0.0599999,0.312607248729575,0.0
100,0.150444,0.6562015421116769,0.0
101,0.559707,0.831640524011143,0.0
102,0.0433933,0.21542924280259876,0.0
103,0.125474,0.49139385423721404,0.0
104,0.0549641,0.3012551430516016,0.0
105,0.993682,1.5976941484476002,0.0
106,0.0165962,0.1245671727850878,0.0
107,0.0376693,0.36729654870402106,0.0
108,0.100085,0.3352209895695334,0.0
109,0.273291,0.9029684727365733,0.0
110,0.14838,0.47642837108696234,0.0
111,0.157766,0.4047474641885279,0.0
112,0.0764841,0.41740662926930017,0.0
113,0.1994,0.5139912207866765,0.0
114,0.0533931,0.5608275048995713,0.0
115,0.0478339,0.206229655469541,0.0
116,0.0456209,0.33322287013082696,0.0
117,0.0332578,0.2758330616133763,0.0
118,0.0203339,0.16570894568831981,0.0
119,0.0634078,0.3612475951674179,0.0
120,0.0741873,0.34733255487181325,0.0
121,0.0298879,0.30102032513283683,0.0
122,0.0554767,0.3201928590888171,0.0
123,0.0634504,0.5876892270002513,0.0
124,0.0543065,0.3437556061902197,0.0
125,0.0641906,0.6275937442438865,0.0
126,0.215865,0.5240982876005358,0.0
127,0.115736,0.331740628135481,0.0
128,0.0354908,0.2147465825304227,0.0
129,0.102997,0.36416924977249476,0.0
130,0.134011,0.5657013040922115,0.0
131,0.090353,0.32976358820152907,0.0
132,0.0653701,0.41246828288610793,0.0
133,0.126883,0.4823391156242717,0.0
134,0.0216297,0.10780882529133812,0.0
135,0.0168413,0.23990636288460052,0.0
136,0.272676,0.911917594709157,0.0
137,0.321616,0.6653523535132791,0.0
138,0.0409191,0.2681114269400823,0.0
139,0.0662782,0.3502118961788976,0.0
140,0.263826,0.44903606119572437,0.0
141,0.0738518,0.4368651687188573,0.0
142,0.0227029,0.13286085205117784,0.0
143,0.562168,1.1417697068993382,0.0
144,0.0326488,0.22543856727088143,0.0
